ANO,MES,NCM,PAIS_DESTINO,UF_ORIGEM,QUANTIDADE,KG_LIQUIDO,VALOR_USD
2022,12,27090010,455,ND,154989,150834405,87768000
2022,4,27090010,741,RJ,79277,68114705,47130787
2022,12,27090010,455,ES,152573,144027930,76305808
2022,10,27090010,361,SP,165282,149563126,72200459
2022,10,27090010,455,ES,150114,141184110,81972690
2022,10,27090010,245,RJ,97270,97477460,36231101
2022,5,27090010,445,RJ,8672,8064415,4497707
2022,9,27090010,249,RJ,150788,131876560,74743723
2022,4,27090010,455,RJ,121755,118139820,85157056
2022,6,27090010,573,RJ,159364,139878616,95907713
2022,11,27090010,160,RJ,150701,133605388,73056437
2022,6,27090010,249,SP,150857,131547689,100487485
2022,3,27090010,607,RJ,306852,269371787,190827925
2022,7,27090010,361,RJ,142300,124872999,90937916
2022,2,27090010,160,RJ,158936,136546163,53696842
2022,2,27090010,245,RJ,150824,132619046,79912159
2022,8,27090010,275,RJ,155137,136074180,94605185
2022,3,27090010,249,SP,78740,71196442,42024419
2022,1,27090010,249,SP,154362,134511298,65198817
2022,7,27090010,249,RJ,9896,9192779,5008440
2022,10,27090010,190,ND,77022,68357050,36331098
2022,10,27090010,245,RJ,155703,136494610,77358094
2022,4,27090010,249,SP,77870,67648281,54651977
2022,1,27090010,741,ES,52181,49245781,21961309
2022,11,27090010,160,RJ,159466,140202657,27422039
2022,9,27090010,249,RJ,403381,367611744,186029003
2022,11,27090010,158,SP,76766,65827131,39906110
2022,1,27090010,455,ES,104404,97733850,43521080
2022,1,27090010,160,RJ,759476,661825870,350184937
2022,11,27090010,275,RJ,152099,133319436,75566800
2022,9,27090010,361,SP,155024,140463740,83867168
2022,8,27090010,245,RJ,94494,91731250,51999002
2022,5,27090010,607,RJ,151371,133146247,90058065
2022,2,27090010,99,RJ,153632,134663,73533830
2022,1,27090010,190,RJ,153279,133275694,77703271
2022,8,27090010,160,RJ,151866,132188398,96396371
2022,3,27090010,160,SP,75806,66103155,52025841
2022,8,27090010,245,SP,316041,280467404,193899329
2022,1,27090010,589,RJ,157271,137946048,68788372
2022,8,27090010,190,RJ,449196,394494020,264014613
2022,9,27090010,249,SP,159210,138653877,78407377
2022,6,27090010,741,RJ,158617,136553348,106653987
2022,5,27090010,249,SP,310093,272746221,184952388
2022,11,27090010,158,RJ,461325,404964851,238963712
2022,1,27090010,607,RJ,152904,134055447,66879027
2022,1,27090010,245,RJ,151569,130591879,65432486
2022,2,27090010,160,RJ,390576,339760904,218560871
2022,12,27090010,158,SP,70178,61440894,31214262
2022,12,27090010,245,RJ,155294,148360600,66481051
2022,8,27090010,573,RJ,75733,66372010,42107686
2022,12,27090010,249,RJ,0,27,2700
2022,5,27090010,573,RJ,618207,538205777,389128942
2022,11,27090010,573,RJ,153495,134558815,76259960
2022,11,27090010,158,RJ,78242,68102052,38621116
2022,11,27090010,455,ES,279133,263549890,135396159
2022,3,27090010,190,RJ,150143,132426725,93448532
2022,11,27090010,607,RJ,161876,142016953,80470737
2022,8,27090010,249,SP,152108,132463281,92845802
2022,12,27090010,866,RJ,63642,59039633,25205319
2022,12,27090010,149,ES,0,27,4
2022,10,27090010,249,RJ,289499,251931102,147726917
2022,12,27090010,607,RJ,154053,135201512,77441351
2022,9,27090010,160,RJ,1532500,1342098203,817416948
2022,12,27090010,361,RJ,197764,191988802,75685885
2022,11,27090010,383,RJ,311643,273286716,170067879
2022,12,27090010,573,RJ,0,0,1200
2022,8,27090010,249,RJ,468158,406955447,270407268
2022,9,27090010,245,RJ,140284,129821910,72557165
2022,4,27090010,160,RJ,835911,726627687,538728542
2022,1,27090010,249,SP,77861,70479327,37310602
2022,1,27090010,160,SP,153014,135939055,68859810
2022,4,27090010,573,RJ,158512,136431054,94237953
2022,6,27090010,245,SP,149172,134897950,86416417
2022,7,27090010,249,RJ,0,1,38
2022,5,27090010,573,RJ,150378,131730858,89413254
2022,10,27090010,361,RJ,316733,286639083,151152387
2022,1,27090010,160,RJ,303094,264436774,147810063
2022,2,27090010,607,RJ,154377,134447383,78649757
2022,7,27090010,249,SP,78087,66818805,50463492
2022,10,27090010,160,RJ,295914,259215261,152283940
2022,12,27090010,249,RJ,154818,134974321,77781794
2022,1,27090010,249,SP,150987,131076913,65732207
2022,10,27090010,158,RJ,159482,141479120,76171258
2022,12,27090010,249,RJ,154735,135923271,73517487
2022,10,27090010,158,RJ,152996,134106476,78171411
2022,3,27090010,249,SP,156463,135892500,91167479
2022,8,27090010,573,RJ,357062,314966149,204467908
